政府帐号名,介绍,级别,是否环保部门,行政区划
济源市住建局,认证：河南省济源市住建局官方微博,,否,河南省济源市
太原消防,认证：太原市公安局消防支队官方微博,,否,太原市
黄岛应急,认证：山东省青岛市黄岛区人民政府应急管理办公室官方微博,县,否,山东省青岛市黄岛区
泉州市政,认证：泉州市市政公用事业管理局,,否,泉州市
黄岛城事,认证：青岛经济技术开发区（黄岛区）行政执法局官方微博,县,否,开发区
平安银川,认证：银川市公安局官方微博,,否,银川市
银川交通,认证：银川市交通运输局官方微博,,否,银川市
全国保护母亲河行动,认证：全国保护母亲河行动领导小组办公室官方微博,,否,
江西省商务厅,认证：江西省商务厅官方微博,省,否,江西省
文明萍乡,认证：江西省萍乡市精神文明建设指导委员会办公室官方微博,,否,江西省萍乡市
乐游上海,认证：上海市旅游局,,否,上海省上海市
桐乡交警,认证：浙江省桐乡市公安局交通警察大队官方微博,,否,浙江省桐乡市
绍兴发布,认证：浙江省绍兴市人民政府新闻办公室官方微博,,否,浙江省绍兴市
锡山教育,认证：江苏省无锡市锡山区教育局官方微博,县,否,江苏省无锡市锡山区
浙江质监,认证：浙江省质量技术监督局官方微博,,否,浙江省
宁波海曙消防大队,认证：宁波市公安局海曙分局消防大队官方微博,,否,宁波市
衢州人力社保,认证：浙江省衢州市人力资源和社会保障局官方微博,,否,浙江省衢州市
上铁金华货运中心,认证：上海铁路局金华货运中心官方微博,,否,上海省
余杭发布,认证：杭州市余杭区人民政府新闻办公室官方微博,县,否,杭州市余杭区
南昌市安监局,认证：江西省南昌市安全生产监督管理局官方微博,,否,江西省南昌市
铜陵质监,认证：安徽省铜陵市质监局官方微博,,否,安徽省铜陵市
马鞍山交警,认证：安徽省马鞍山市公安局交警支队官方微博,,否,安徽省鞍山市
安庆公安交警在线,认证：安徽省安庆市公安局交通警察支队,,否,安徽省安庆市
蚌埠公安在线,认证：蚌埠市公安局官方微博,,否,蚌埠市
芜湖安监,认证：安徽省芜湖市安全生产监督管理局官方微博,,否,安徽省芜湖市
铜陵郊区治安在线,铜陵市公安局郊区分局治安大队,县,否,铜陵市局郊区
铜陵平安郊区,认证：安徽省铜陵市公安局郊区公安分局官方微博,县,否,安徽省铜陵市局郊区
铜陵人社,认证：安徽省铜陵市人力资源与社会保障局官方微博,,否,安徽省铜陵市
桐乡发布,认证：浙江省桐乡市委市政府新闻办公室官方微博,,否,浙江省桐乡市
海盐安监,认证：海盐县安全生产监管局官方微博,县,否,海盐县
安徽治安在线,认证：安徽省公安厅“打四黑除四害”专项行动办公室官方微博,省,否,安徽省
南京国税,认证：江苏省南京市国家税务局官方微博,,否,江苏省南京市
杨忠海-,认证：湖北省松滋市司法局 副主任科员,,否,湖北省松滋市
南京档案,认证：江苏省南京市档案局官方微博,,否,江苏省南京市
中国气象局,认证：中国气象局官方微博,,否,
平安上杭,认证：福建省龙岩市上杭县公安局官方微博,县,否,福建省龙岩市上杭县
惠安公安,认证：福建省泉州市惠安县公安局,县,否,福建省泉州市惠安县
界首发布,认证：安徽省界首市互联网宣传管理办公室官方微博,,否,安徽省界首市
铜陵市工商行政管理局,认证：安徽省铜陵市工商行政管理局官方微博,,否,安徽省铜陵市
芜湖市弋江交警大队,认证：安徽省芜湖市公安局交警支队弋江交警大队官方微博,,否,安徽省芜湖市
平安芜湖,认证：安徽省芜湖市公安局官方微博,,否,安徽省芜湖市
顺起,认证：河北省邯郸市公安局巡逻警察支队民警,,否,河北省邯郸市
尔东力sky,认证： 中国建筑第八工程局有限公司 施工员,,否,
繁昌县交管大队,认证：安徽省芜湖市繁昌县公安局交通管理大队官方微博,县,否,安徽省芜湖市繁昌县
合肥警方,认证：合肥市公安局官方微博,,否,合肥市
淮北发布,认证：安徽省淮北市互联网信息办公室官方微博,,否,安徽省淮北市
高密普法,认证：山东省高密市全民普法依法治市工作领导小组办公室官方微博,,否,山东省高密市
如果说_,认证：  中国建筑第二工程局有限公司工程造价员,,否,
铜陵商务,认证：铜陵市商务局官方微博,,否,铜陵市
筱筱纸鹤,一个开了始的故事，只是需要一个注定的结局。说得多好的故事。...,,否,
平安宜春,认证：江西省宜春市公安局官方微博,,否,江西省宜春市
谭嘉诚CGPOP,认证：新丰县体育局 新丰街舞赛事创办人、总策划,县,否,新丰县
宿州发布,认证：安徽省宿州市人民政府办公室官方微博,,否,安徽省宿州市
江苏微旅游,认证：江苏省旅游局旅游信息中心官方微博,,否,江苏省
江苏质监,认证：江苏省质量技术监督局官方微博,,否,江苏省
铜陵公安在线,认证：安徽省铜陵市公安局官方微博,,否,安徽省铜陵市
文明太仓,认证：太仓市精神文明建设委员会办公室官方微博,,否,太仓市
姑苏公安,认证：苏州市公安局姑苏分局官方微博,,否,苏州市
萧山发布,认证：浙江省杭州市萧山区人民政府新闻办公室官方微博,县,否,浙江省杭州市萧山区
淮南市城市管理行政执法局,认证：安徽省淮南市城市管理行政执法局官方微博,,否,安徽省淮南市
抚州发布,认证：江西省抚州市人民政府新闻办公室官方微博,,否,江西省抚州市
杭州发布,认证：杭州市人民政府新闻办公室官方微博,,否,杭州市
乐清发布,认证：乐清市政府新闻办公室官方微博,,否,乐清市
上铁资讯,认证：中国铁路上海局集团有限公司官方微博,,否,上海省
江苏司法行政在线,认证：江苏省司法厅官方微博,省,否,江苏省
南京水务,认证：江苏省南京市水利局官方微博,,否,江苏省南京市
扬州仪化公安,认证：江苏省扬州市公安局仪化分局官方微博,,否,江苏省扬州市
仪征教育,认证：仪征市教育局官方微博,,否,仪征市
仪征市城市管理局,认证：仪征市城市管理局官方微博,,否,仪征市
仪征市公安局,认证：江苏仪征市公安局,,否,江苏省仪征市
扬州公安,认证：江苏省扬州市公安局官方微博,,否,江苏省扬州市
仪征交警,认证：江苏省仪征市公安局交通警察大队官方微博,,否,江苏省仪征市
山西公安,认证：山西省公安厅官方微博,省,否,山西省
内蒙古电力公司乌海电业局团委,乌海电业局团青阵地!,,否,
国家安全监管总局,认证：国家安全生产监督管理总局官方微博,,否,
辽宁交通,认证：辽宁省交通运输厅官方微博,省,否,辽宁省
沈阳市公安局,认证：辽宁省沈阳市公安局官方微博,,否,辽宁省沈阳市
惠州发布,认证：惠州市人民政府新闻办公室官方微博,,否,惠州市
邢台交通运输局,认证：河北省邢台市交通运输局官方微博,,否,河北省邢台市
灵石人社,认证：山西省晋中市灵石县人力资源和社会保障局官方微博,县,否,山西省晋中市灵石县
平安太原,认证：太原市公安局官方微博,,否,太原市
太原铁路,认证：中国铁路太原局集团有限公司官方微博,,否,
铁路太原站,认证：太原铁路局太原站官方微博,,否,太原市
无锡市人社局,认证：无锡市人力资源和社会保障局官方微博,,否,无锡市
常州交警在线,认证：江苏省常州市公安局交巡警支队,,否,江苏省常州市
常州治安,认证：江苏省常州市公安局治安支队官方微博,,否,江苏省常州市
延边发布,认证：延边朝鲜族自治州人民政府新闻办公室官方微博,,否,
吉林司法行政,认证：吉林省司法厅官方微博,省,否,吉林省
长春能见度_政务公开办公室,认证：吉林省长春市人民政府办公厅政务公开办公室官方微博,省,否,吉林省长春市
吉林省经合局,认证：吉林省经济技术合作局官方微博,,否,吉林省
磐石发布,认证：吉林省磐石市人民政府办公室官方微博,,否,吉林省磐石市
平安园区,认证：江苏省苏州市公安局工业园区分局官方微博,县,否,江苏省苏州市业园区
湖东派出所,认证：江苏省苏州市公安局园区分局湖东派出所,县,否,江苏省苏州市局园区
松原市政局,认证：吉林省松原市市政工程管理局官方微博,,否,吉林省松原市
铁路唐山南站,认证：北京铁路局唐山南站,,否,北京省
高港发布,认证：泰州市高港区人民政府新闻办公室官方微博,县,否,泰州市高港区
秦皇岛公安网络发言人,认证：河北秦皇岛市公安局官方微博,,否,河北省皇岛市
河北公安网络发言人,认证：河北省公安厅官方微博,省,否,河北省
沈铁长春站,认证：沈阳铁路局长春站官方微博,,否,沈阳
长春市外事办公室,认证：吉林省长春市人民政府外事(侨务)办公室官方微博,,否,吉林省长春市
甘肃质监,认证：甘肃省质量技术监督局官方微博,,否,甘肃省
北京质监,认证：北京市质监局官方微博,,否,北京省北京市
成都质监,认证：四川省成都市质量技术监督局官方微博,,否,四川省成都市
嘉定公安,认证：上海市公安局嘉定分局,,否,上海省上海市
警民直通车-上海,认证：上海市公安局官方微博,,否,上海省上海市
上铁上海客运段,认证：上海铁路局上海客运段官方微博,,否,上海省
白帽蓝衣,认证：山西省公安厅交通警察总队高速三支队一大队民警,省,否,山西省
北京发布,认证：北京市政府新闻办公室官方微博,,否,北京省北京市
锦州气象,认证：辽宁省锦州市气象局官方微博,,否,辽宁省锦州市
网络一半,认证：台州市公安局黄岩分局巡特警大队大队长，新浪微博社区专家委员,县,否,台州市博社区
气象北京,认证：北京市气象局官方微博,,否,北京省北京市
北京消防,认证：北京市公安局消防局官方微博,,否,北京省北京市
深圳市住房和建设局,认证：深圳市住房和建设局官方微博,,否,深圳市
金凤人社,认证：宁夏回族自治区银川市金凤区人力资源和社会保障局官方微博,县,否,宁夏省银川市自治区
宁夏消防,认证：宁夏回族自治区公安厅消防总队官方微博,省,否,宁夏省自治区
南海卫生计生,认证：南海区卫生和计划生育局,县,否,南海区
中石化华北石油局,认证：中石化华北石油局官方微博,,否,
新疆内学办,认证：新疆维吾尔自治区内地新疆学生工作办公室官方微博,省,否,新疆省自治区
广州白云地税,认证：广州市白云区地方税务局官方微博,县,否,广州市白云区
惠州文明网,认证：广东省惠州市文明城市工作局官方微博,,否,广东省惠州市
文明湘潭官博,认证：湖南省湘潭市精神文明建设指导委员会办公室官方微博,,否,湖南省湘潭市
禄劝县人社局,认证：云南省昆明市禄劝县人社局官方微博,县,否,云南省昆明市禄劝县
株洲12345,认证：湖南省株洲市人民政府12345市长热线办公室官方微博,,否,湖南省株洲市
娄底发布,认证：中共娄底市委互联网宣传管理办公室官方微博,,否,娄底市
平安石河子,认证：新疆石河子市公安局官方微博,,否,新疆省河子市
绥化发布,认证：黑龙江省绥化市互联网信息工作办公室官方微博,,否,黑龙江省绥化市
广东省工商局,认证：广东省工商行政管理局官方微博,,否,广东省
三水发布,认证：佛山市三水区人民政府新闻办公室官方微博,县,否,佛山市三水区
海关发布,认证：海关总署办公厅官方微博,省,否,
深圳天气,认证：深圳市气象局官方微博,,否,深圳市
虎林刘静远,认证：  虎林市机构编制委员会办公室职员,,否,虎林市
深圳市消费者委员会,认证：深圳市消费者委员会办公室官方微博,,否,深圳市
滨州住建,认证：滨州市住房和城乡建设局官方微博,,否,滨州市
聊城发布,认证：山东省聊城市人民政府新闻办公室官方微博,,否,山东省聊城市
安阳市教育局,认证：河南省安阳市教育局官方微博，教育官微联盟成员,,否,河南省安阳市
吴忠文明网,认证：宁夏吴忠市精神文明建设指导委员会办公室官方微博,,否,宁夏省吴忠市
就是实在,认证：国务院新闻办新闻局处长詹安玲,,否,
文明武汉,认证：武汉市精神文明建设指导委员会办公室官方微博,,否,武汉市
投资宜昌,认证：湖北省宜昌市招商局官方微博,,否,湖北省宜昌市
楚雄警方,认证：楚雄彝族自治州公安局,,否,楚雄
平安宜昌,认证：湖北省宜昌市公安局官方微博,,否,湖北省宜昌市
济南交警,认证：济南市公安局交通警察支队官方微博,,否,济南市
济南公安,认证：济南市公安局官方微博,,否,济南市
济南公安市中区分局,认证：济南公安市中区分局官方微博,县,否,公安市市中区
山东国税,认证：山东省国家税务局官方微博,,否,山东省
青岛市供热办公室,认证：山东省青岛市供热办公室官方微博,,否,山东省青岛市
青岛听风,认证：中国污水及垃圾处理专家 青岛市政局高级工程师 姜言正,,否,青岛市
青岛城管执法,认证：山东省青岛市城市管理行政执法局官方微博,,否,山东省青岛市
枣庄发布,认证：山东省枣庄市人民政府新闻办公室官方微博,,否,山东省枣庄市
安丘发布,认证：安丘市人民政府办公室官方微博,,否,安丘市
昌邑交警,认证：潍坊市公安局交通警察支队昌邑交通警察大队官方微博,,否,潍坊市
外交小灵通,认证：外交部公共外交办公室,,否,
江苏建设,认证：江苏省住房和城乡建设厅官方微博,省,否,江苏省
长沙县城乡规划建设局,认证：长沙县城乡规划建设局官方微博,县,否,长沙县
交警李涌,认证：青岛市公安局交通警察支队市北大队辽源路中队副中队长,,否,青岛市
青岛交警,认证：青岛市公安局交通警察支队官方微博,,否,青岛市
山东交警,认证：山东省公安厅交通管理局官方微博,省,否,山东省
山东文明,认证：山东省精神文明建设委员会办公室官方微博,,否,山东省
宝鸡公安,认证：陕西省宝鸡市公安局官方微博,,否,陕西省宝鸡市
陕西省教育厅,认证：陕西省教育厅官方微博、教育官微联盟成员,省,否,陕西省
陕西工商,认证：陕西省工商行政管理局官方微博,,否,陕西省
乳山发布,认证：乳山市人民政府新闻办公室官方微博,,否,乳山市
乳山市财政局,认证：山东省乳山市财政局官方微博,,否,山东省乳山市
荣成发布,认证：山东省荣成市人民政府新闻办公室官方微博,,否,山东省荣成市
德州发布,认证：山东省德州市人民政府新闻办公室官方微博,,否,山东省德州市
深茂财经,从事金融行业近十五年 今年幸运的躲过熔断股灾 中旬布局大宗商...,,否,
云南丽江警方,认证：丽江市公安局官方微博,,否,丽江市
乐山发布,认证：中共乐山市委对外宣传办公室，乐山市人民政府新闻办公室,,否,乐山市
大理市在线,认证：云南省大理市人民政府政务服务管理局官方微博,,否,云南省大理市
苏州文化发布,认证：苏州市文广新局官方微博,,否,苏州市
陕西旅游杂志,认证：陕西省旅游局官方杂志,,否,陕西省
伊宁县教育,认证：新疆伊宁县教育局官方微博,县,否,新疆省伊宁县
菏泽市旅游局官方微博,认证：菏泽市旅游局官方微博,,否,菏泽市
无棣柳堡支局刘泽同,中国电信柳堡镇支局长,,否,
陕西安监,认证：陕西省安全生产监督管理局官方微博,,否,陕西省
城关区食药局,认证：兰州市城关区食品药品监督管理局官方微博,县,否,兰州市城关区
定边公安,认证：陕西省榆林市定边县公安局官方微博,县,否,陕西省榆林市定边县
延安市文明办,认证：延安市精神文明建设指导委员会办公室官方微博,,否,延安市
城阳区科技局,认证：青岛市城阳区科学技术局官方微博,县,否,青岛市城阳区
陇南林业,认证：甘肃省陇南市林业局官方微博,,否,甘肃省陇南市
新乡警方在线,认证：新乡市公安局官方微博,,否,新乡市
新乡发布,认证：河南省新乡市人民政府新闻办公室官方微博,,否,河南省新乡市
防城港发布,认证：广西壮族自治区防城港市人民政府新闻办公室官方微博,市,否,广西省城港市自治区
襄阳气象,襄阳市气象局开通气象微博啦！最及时、最权威，欢迎收听！,,否,襄阳市
自贡交警,认证：四川省自贡公安局交警支队,,否,四川省
交警莫小白,认证：  四川省公安厅交通警察总队民警,省,否,四川省
什邡市文明办,认证：四川省什邡市精神文明建设爱国卫生运动委员会办公室官方微博,,否,四川省什邡市
活力什邡,认证：什邡市人民政府新闻办公室官方微博,,否,什邡市
榆林创建,认证：陕西省榆林市中心城区创建工作办公室官方微博,县,否,陕西省榆林市心城区
眉山园区公安,认证：眉山市公安局园区分局官方微博,县,否,眉山市局园区
文明咸阳,认证：陕西省咸阳市精神文明建设指导委员会办公室官方微博,,否,陕西省咸阳市
礼泉政务,认证：陕西省咸阳市礼泉县信息化工作办公室官方微博,县,否,陕西省咸阳市礼泉县
铜川交通,认证：陕西省铜川市交通运输局官方微博,,否,陕西省铜川市
铜川公安,认证：陕西省铜川市公安局官方微博,,否,陕西省铜川市
法治铜川,认证：陕西省铜川市司法局官方微博,,否,陕西省铜川市
杨凌水务,认证：陕西省杨凌农业高新技术产业示范区水务局官方微博,县,否,陕西省示范区
杨凌农业旅游,认证：陕西省杨凌示范区旅游局官方微博,县,否,陕西省示范区
杨凌工商,认证：陕西省杨凌示范区工商行政管理局官方微博,县,否,陕西省示范区
杨凌财政,认证：陕西省西安市杨凌农业高新技术产业示范区财政局官方微博,县,否,陕西省西安市示范区
杨凌示范区城改办,认证：陕西省杨凌示范区城中村改造办公室官方微博,县,否,陕西省示范区
杨凌示范区发展和改革局,认证：陕西省杨凌示范区发展和改革局官方微博,县,否,陕西省示范区
武功水利,认证：陕西省咸阳市武功县水利局官方微博,县,否,陕西省咸阳市武功县
耀州发布,认证：陕西省铜川市耀州区人民政府办公室官方微博,县,否,陕西省铜川市耀州区
咸阳市水利局,认证：陕西省咸阳市水利局官方微博,,否,陕西省咸阳市
西宁体育,认证：青海省西宁市体育局官方微博,,否,青海省西宁市
靖边公安青阳岔派出所,认证：陕西省榆林市靖边县公安局青阳岔派出所官方微博,县,否,陕西省榆林市靖边县
陕西省卫生厅,认证：陕西省卫生厅官方微博,省,否,陕西省
榆林疾病预防控制,认证：陕西省榆林市卫生和计划生育局官方微博,,否,陕西省榆林市
榆林市盐务局,榆林市盐务管理局官微博已经变更为：http://weibo.com/ylsywgl...,,否,榆林市
潍坊公安,认证：山东省潍坊市公安局官方微博,,否,山东省潍坊市
青海发布,认证：青海省人民政府新闻办公室官方微博,,否,青海省
青海政务,认证：青海省人民政府办公厅官方微博,省,否,青海省
青海李国胜,认证：共青团青海省委办公室主任,,否,青海省
畅通邓州,认证：河南省邓州市公安局交警大队官方微博,,否,河南省邓州市
汝州工商,认证：汝州市工商行政管理局官方微博,,否,汝州市
莘县公安,认证：山东莘县公安局官方微博,县,否,山东省东莘县
潜江市旅游局官方微博,认证：潜江旅游局官方微博,,否,
平安潜江,认证：湖北省潜江市公安局官方微博,,否,湖北省潜江市
平安天门,认证：湖北省天门市公安局官方微博,,否,湖北省天门市
文明轻院,认证：郑州轻工业学院精神文明建设指导委员会办公室官方微博,,否,郑州
四川地税,认证：四川省地方税务局官方微博,,否,四川省
成都地税,认证：成都市地方税务局官方微博,,否,成都市
东岳消防张湾中队,认证：湖北省十堰市公安局东岳分局消防大队张湾中队官方微博,,否,湖北省十堰市
青村法宣,认证：上海市奉贤区司法局青村司法所官方微博,县,否,上海省上海市奉贤区
西渡法宣,认证：上海市奉贤区司法局西渡司法所官方微博,县,否,上海省上海市奉贤区
达州发布,认证：四川省达州市互联网信息办公室官方微博,,否,四川省达州市
府谷公安,认证：陕西省榆林市府谷县公安局官方微博,县,否,陕西省榆林市府谷县
文明白银,认证：甘肃省白银市精神文明建设委员会办公室官方微博,,否,甘肃省白银市
文明新乡官微,认证：河南省新乡市精神文明建设委员会办公室官方微博,,否,河南省新乡市
西夏市场监管,认证：宁夏银川市市场监督管理局西夏分局官方微博,,否,宁夏省银川市
秭归县交通运输局,认证：湖北省宜昌市秭归县交通运输局官方微博,县,否,湖北省宜昌市秭归县
文明驻马店政府办,认证：河南省驻马店市政府办公室官方微博,,否,河南省马店市
平安南阳,认证：河南省南阳市公安局官方微博,,否,河南省南阳市
成华城市管理,认证：成都市成华区城市管理局官方微博,县,否,成都市成华区
广食药监,认证：四川省广元市食品药品监督管理局官方微博,,否,四川省广元市
西南铁路,认证：中国铁路成都局集团有限公司官方微博,,否,
贵州监狱,认证：贵州省监狱管理局官方微博,,否,贵州省
遵义司法,认证：遵义市司法局官方微博,,否,遵义市
贵州司法,认证：贵州省司法厅官方微博,省,否,贵州省
温州发布,认证：浙江省温州市政府新闻办公室官方微博,,否,浙江省温州市
济南历下交警,认证：山东济南市公安局交通警察支队历下大队官方微博,,否,山东省济南市
郑州市金水区执法局,认证：郑州市金水区城市管理行政执法局官方微博,县,否,郑州市金水区
烟台发布,认证：山东省烟台市人民政府新闻办公室官方微博,,否,山东省烟台市
吐泡泡的蓝鱼儿,认证：北京出入境检验检疫局 工程师闫曦,,否,北京省
焦作刑警,认证：焦作市公安局刑事侦查支队,,否,焦作市
郑州旅游局,认证：郑州市旅游局官方微博,,否,郑州市
开封市旅游局,认证：开封市旅游局官方微博,,否,开封市
洛阳市旅发委,认证：洛阳市旅游局官方微博,,否,洛阳市
新乡旅游微博,认证：河南省新乡市旅游局官方微博,,否,河南省新乡市
焦作市旅游局,认证：焦作市旅游局官方微博,,否,焦作市
信阳市旅游局,认证：信阳市旅游局官方微博,,否,信阳市
平顶山旅游局,认证：平顶山市旅游局官方微博,,否,顶山市
南阳市旅游和外事侨务局,认证：河南省南阳市旅游局官方微博,,否,河南省南阳市
商丘市旅游局,认证：商丘市旅游局官方微博,,否,商丘市
濮阳市旅游局,认证：河南省濮阳市旅游局官方微博,,否,河南省濮阳市
漯河旅游,认证：河南省漯河市旅游局官方微博,,否,河南省漯河市
周口市旅游管理部门,认证：河南省周口市旅游局官方微博,,否,河南省周口市
驻马店旅游局,认证：驻马店市旅游局官方微博,,否,马店市
清风鹤壁旅游,认证：河南省鹤壁市旅游局官方微博,,否,河南省鹤壁市
平安宝丰,认证：河南省平顶山市宝丰县公安局,县,否,河南省顶山市宝丰县
清风宝丰文化,认证：河南省平顶山市宝丰县文化广电局官方微博,县,否,河南省顶山市宝丰县
海珠区城市管理局,认证：广东省广州市海珠区城市管理局官方微博,县,否,广东省广州市海珠区
南宁火车站,认证：中国铁路南宁局集团有限公司南宁火车站官方微博,,否,
双流水务,认证：成都市双流区水务局官方微博,县,否,成都市双流区
